relationship_id,source_id,target_id,relationship_type,amount,unit,step_order
R_000001,201001015,201001016,801000001,2,个,
R_000002,201001015,201001017,801000001,30,g,
R_000003,201001015,201001018,801000001,30,g,
R_000004,201001015,201001019,801000001,50,g,
R_000005,201001015,201001020,801000001,30,g,
R_000006,201001015,201001021,801000001,200,g,
R_000007,201001015,201001022,801000001,20,ml,
R_000008,201001015,201001023,801000001,15,ml,
R_000009,201001015,201001024,801000001,10,ml,
R_000010,201001015,201001025,801000003,,,1.0
R_000011,201001015,201001026,801000003,,,2.0
R_000012,201001015,201001027,801000003,,,3.0
R_000013,201001015,201001028,801000003,,,4.0
R_000014,201001015,201001029,801000003,,,5.0
R_000015,201001015,201001030,801000003,,,6.0
R_000016,201001015,201001031,801000003,,,7.0
R_000017,201001015,201001032,801000003,,,8.0
R_000018,201001015,201001033,801000003,,,9.0
R_000019,201001015,201001034,801000003,,,10.0
R_000020,201001015,750000000,801000004,,,
R_000021,201001015,630000000,801000005,,,
R_000022,201001035,201001036,801000001,200,g,
R_000023,201001035,201001037,801000001,160,ml,
R_000024,201001035,201001038,801000001,3,个,
R_000025,201001035,201001039,801000001,20-100,g,
R_000026,201001035,201001040,801000001,25,ml,
R_000027,201001035,201001041,801000001,15,ml,
R_000028,201001035,201001042,801000001,7.5,ml,
R_000029,201001035,201001043,801000001,5,ml,
R_000030,201001035,201001044,801000001,7.5,ml,
R_000031,201001035,201001045,801000001,5,g,
R_000032,201001035,201001046,801000001,1,g,
R_000033,201001035,201001047,801000003,,,1.0
R_000034,201001035,201001048,801000003,,,2.0
R_000035,201001035,201001049,801000003,,,3.0
R_000036,201001035,201001050,801000003,,,4.0
R_000037,201001035,201001051,801000003,,,5.0
R_000038,201001035,201001052,801000003,,,6.0
R_000039,201001035,201001053,801000003,,,7.0
R_000040,201001035,750000000,801000004,,,
R_000041,201001035,630000000,801000005,,,
R_000042,201001054,201001055,801000001,适量,,
R_000043,201001054,201001056,801000001,2,份,
R_000044,201001054,201001057,801000001,3,份,
R_000045,201001054,201001058,801000001,2,份,
R_000046,201001054,201001059,801000001,适量,,
R_000047,201001054,201001060,801000001,适量,,
R_000048,201001054,201001061,801000001,适量,,
R_000049,201001054,201001062,801000001,2至5,克,
R_000050,201001054,201001063,801000001,2,克,
R_000051,201001054,201001064,801000003,,,1.0
R_000052,201001054,201001065,801000003,,,2.0
R_000053,201001054,201001066,801000003,,,3.0
R_000054,201001054,201001067,801000003,,,4.0
R_000055,201001054,201001068,801000003,,,5.0
R_000056,201001054,201001069,801000003,,,6.0
R_000057,201001054,201001070,801000003,,,7.0
R_000058,201001054,201001071,801000003,,,8.0
R_000059,201001054,201001072,801000003,,,9.0
R_000060,201001054,201001073,801000003,,,10.0
R_000061,201001054,201001074,801000003,,,11.0
R_000062,201001054,201001075,801000003,,,12.0
R_000063,201001054,201001076,801000003,,,13.0
R_000064,201001054,750000000,801000004,,,
R_000065,201001054,620000000,801000005,,,
R_000066,201001077,201001078,801000001,200,g,
R_000067,201001077,201001079,801000001,15,g,
R_000068,201001077,201001080,801000001,5,ml,
R_000069,201001077,201001081,801000001,2,ml,
R_000070,201001077,201001082,801000001,8,g,
R_000071,201001077,201001083,801000001,5,g,
R_000072,201001077,201001084,801000001,5,g,
R_000073,201001077,201001085,801000003,,,1.0
R_000074,201001077,201001086,801000003,,,2.0
R_000075,201001077,201001087,801000003,,,3.0
R_000076,201001077,201001088,801000003,,,4.0
R_000077,201001077,201001089,801000003,,,5.0
R_000078,201001077,750000000,801000004,,,
R_000079,201001077,610000000,801000005,,,
R_000080,201001090,201001091,801000001,300,g,
R_000081,201001090,201001092,801000001,400,g,
R_000082,201001090,201001093,801000001,150,g,
R_000083,201001090,201001094,801000001,100,g,
R_000084,201001090,201001095,801000001,15,g,
R_000085,201001090,201001096,801000001,15,ml,
R_000086,201001090,201001097,801000001,0-3,g,
R_000087,201001090,201001098,801000001,1,g,
R_000088,201001090,201001099,801000001,310,ml,
R_000089,201001090,201001100,801000003,,,1.0
R_000090,201001090,201001101,801000003,,,2.0
R_000091,201001090,201001102,801000003,,,3.0
R_000092,201001090,201001103,801000003,,,4.0
R_000093,201001090,201001104,801000003,,,5.0
R_000094,201001090,201001105,801000003,,,6.0
R_000095,201001090,201001106,801000003,,,7.0
R_000096,201001090,201001107,801000003,,,8.0
R_000097,201001090,201001108,801000003,,,9.0
R_000098,201001090,750000000,801000004,,,
R_000099,201001090,640000000,801000005,,,
R_000100,201001109,201001110,801000001,250,g,
R_000101,201001109,201001111,801000001,按需,g,
R_000102,201001109,201001112,801000001,10,g,
R_000103,201001109,201001113,801000001,2,g,
R_000104,201001109,201001114,801000001,10,ml,
R_000105,201001109,201001115,801000001,15,ml,
R_000106,201001109,201001116,801000001,3,g,
R_000107,201001109,201001117,801000001,适量,,
R_000108,201001109,201001118,801000001,30,g,
R_000109,201001109,201001119,801000001,30,g,
R_000110,201001109,201001120,801000001,30,g,
R_000111,201001109,201001121,801000001,1,个,
R_000112,201001109,201001122,801000001,2,个,
R_000113,201001109,201001123,801000001,1,根,
R_000114,201001109,201001124,801000001,5,g,
R_000115,201001109,201001125,801000001,20,g,
R_000116,201001109,201001126,801000003,,,1.0
R_000117,201001109,201001127,801000003,,,2.0
R_000118,201001109,201001128,801000003,,,3.0
R_000119,201001109,201001129,801000003,,,4.0
R_000120,201001109,201001130,801000003,,,5.0
R_000121,201001109,201001131,801000003,,,6.0
R_000122,201001109,201001132,801000003,,,7.0
R_000123,201001109,201001133,801000003,,,8.0
R_000124,201001109,201001134,801000003,,,9.0
R_000125,201001109,201001135,801000003,,,10.0
R_000126,201001109,201001136,801000003,,,11.0
R_000127,201001109,201001137,801000003,,,12.0
R_000128,201001109,201001138,801000003,,,13.0
R_000129,201001109,201001139,801000003,,,14.0
R_000130,201001109,750000000,801000004,,,
R_000131,201001109,640000000,801000005,,,
R_000132,201001140,201001141,801000001,150,g,
R_000133,201001140,201001142,801000001,150,g,
R_000134,201001140,201001143,801000001,250,g,
R_000135,201001140,201001144,801000001,15,g,
R_000136,201001140,201001145,801000001,35,g,
R_000137,201001140,201001146,801000001,10,g,
R_000138,201001140,201001147,801000001,20,g,
R_000139,201001140,201001148,801000001,20,g,
R_000140,201001140,201001149,801000003,,,1.0
R_000141,201001140,201001150,801000003,,,2.0
R_000142,201001140,201001151,801000003,,,3.0
R_000143,201001140,201001152,801000003,,,4.0
R_000144,201001140,201001153,801000003,,,5.0
R_000145,201001140,201001154,801000003,,,6.0
R_000146,201001140,201001155,801000003,,,7.0
R_000147,201001140,750000000,801000004,,,
R_000148,201001140,630000000,801000005,,,
R_000149,201001156,201001157,801000001,70-230,g,
R_000150,201001156,201001158,801000001,200-400,ml,
R_000151,201001156,201001159,801000001,与面类体积相当,,
R_000152,201001156,201001160,801000001,体积可忽略,,
R_000153,201001156,201001161,801000001,适量,,
R_000154,201001156,201001162,801000001,适量,,
R_000155,201001156,201001163,801000001,适量,,
R_000156,201001156,201001164,801000003,,,1.0
R_000157,201001156,201001165,801000003,,,2.0
R_000158,201001156,201001166,801000003,,,3.0
R_000159,201001156,201001167,801000003,,,4.0
R_000160,201001156,201001168,801000003,,,5.0
R_000161,201001156,201001169,801000003,,,6.0
R_000162,201001156,201001170,801000003,,,7.0
R_000163,201001156,750000000,801000004,,,
R_000164,201001156,620000000,801000005,,,
R_000165,201001171,201001172,801000001,500,g,
R_000166,201001171,201001173,801000001,100,g,
R_000167,201001171,201001174,801000001,3,枚,
R_000168,201001171,201001175,801000001,10,ml,
R_000169,201001171,201001176,801000001,5,g,
R_000170,201001171,201001177,801000001,250,g,
