relationship_id,source_id,target_id,relationship_type,amount,unit,step_order
R_000001,201000338,201000339,801000001,5,个,
R_000002,201000338,201000340,801000001,15,g,
R_000003,201000338,201000341,801000001,6-15,g,
R_000004,201000338,201000342,801000001,15,ml,
R_000005,201000338,201000343,801000001,10,g,
R_000006,201000338,201000344,801000001,3,g,
R_000007,201000338,201000345,801000001,40,g,
R_000008,201000338,201000346,801000001,20-35,ml,
R_000009,201000338,201000347,801000001,15,ml,
R_000010,201000338,201000348,801000001,15,ml,
R_000011,201000338,201000349,801000001,5,g,
R_000012,201000338,201000350,801000003,,,1.0
R_000013,201000338,201000351,801000003,,,2.0
R_000014,201000338,201000352,801000003,,,3.0
R_000015,201000338,201000353,801000003,,,4.0
R_000016,201000338,201000354,801000003,,,5.0
R_000017,201000338,201000355,801000003,,,6.0
R_000018,201000338,201000356,801000003,,,7.0
R_000019,201000338,201000357,801000003,,,8.0
R_000020,201000338,201000358,801000003,,,9.0
R_000021,201000338,201000359,801000003,,,10.0
R_000022,201000338,710000000,801000004,,,
R_000023,201000338,630000000,801000005,,,
R_000024,201000360,201000361,801000001,1,块,
R_000025,201000360,201000362,801000001,2,只,
R_000026,201000360,201000363,801000001,50,g,
R_000027,201000360,201000364,801000001,20,g,
R_000028,201000360,201000365,801000001,10,g,
R_000029,201000360,201000366,801000001,5,g,
R_000030,201000360,201000367,801000001,10,g,
R_000031,201000360,201000368,801000003,,,1.0
R_000032,201000360,201000369,801000003,,,2.0
R_000033,201000360,201000370,801000003,,,3.0
R_000034,201000360,201000371,801000003,,,4.0
R_000035,201000360,201000372,801000003,,,5.0
R_000036,201000360,201000373,801000003,,,6.0
R_000037,201000360,201000374,801000003,,,7.0
R_000038,201000360,201000375,801000003,,,8.0
R_000039,201000360,710000000,801000004,,,
R_000040,201000360,630000000,801000005,,,
R_000041,201000376,201000377,801000001,300,g,
R_000042,201000376,201000378,801000001,120,g,
R_000043,201000376,201000379,801000001,50,g,
R_000044,201000376,201000380,801000001,50,g,
R_000045,201000376,201000381,801000001,30,g,
R_000046,201000376,201000382,801000001,30,g,
R_000047,201000376,201000383,801000001,80,g,
R_000048,201000376,201000384,801000001,10,g,
R_000049,201000376,201000385,801000001,165,ml,
R_000050,201000376,201000386,801000001,8,ml,
R_000051,201000376,201000387,801000001,15,ml,
R_000052,201000376,201000388,801000001,2,g,
R_000053,201000376,201000389,801000001,3,g,
R_000054,201000376,201000390,801000001,15,ml,
R_000055,201000376,201000391,801000001,10,g,
R_000056,201000376,201000392,801000003,,,1.0
R_000057,201000376,201000393,801000003,,,2.0
R_000058,201000376,201000394,801000003,,,3.0
R_000059,201000376,201000395,801000003,,,4.0
R_000060,201000376,201000396,801000003,,,5.0
R_000061,201000376,201000397,801000003,,,6.0
R_000062,201000376,201000398,801000003,,,7.0
R_000063,201000376,201000399,801000003,,,8.0
R_000064,201000376,201000400,801000003,,,9.0
R_000065,201000376,710000000,801000004,,,
R_000066,201000376,630000000,801000005,,,
R_000067,201000401,201000402,801000001,200,g,
R_000068,201000401,201000403,801000001,6-8,ml,
R_000069,201000401,201000404,801000001,4-5,瓣,
R_000070,201000401,201000405,801000001,10,ml,
R_000071,201000401,201000406,801000001,1.0,g,
R_000072,201000401,201000407,801000001,1,g,
R_000073,201000401,201000408,801000001,5-8,ml,
R_000074,201000401,201000409,801000003,,,1.0
R_000075,201000401,201000410,801000003,,,2.0
R_000076,201000401,201000411,801000003,,,3.0
R_000077,201000401,201000412,801000003,,,4.0
R_000078,201000401,201000413,801000003,,,5.0
R_000079,201000401,201000414,801000003,,,6.0
R_000080,201000401,201000415,801000003,,,7.0
R_000081,201000401,201000416,801000003,,,8.0
R_000082,201000401,710000000,801000004,,,
R_000083,201000401,620000000,801000005,,,
R_000084,201000417,201000418,801000001,250,g,
R_000085,201000417,201000419,801000001,2,个,
R_000086,201000417,201000420,801000001,3,圈,
R_000087,201000417,201000421,801000001,2,颗,
R_000088,201000417,201000422,801000001,6,ml,
R_000089,201000417,201000423,801000001,2,ml,
R_000090,201000417,201000424,801000001,6,ml,
R_000091,201000417,201000425,801000001,6,g,
R_000092,201000417,201000426,801000003,,,1.0
R_000093,201000417,201000427,801000003,,,2.0
R_000094,201000417,201000428,801000003,,,3.0
R_000095,201000417,201000429,801000003,,,4.0
R_000096,201000417,201000430,801000003,,,5.0
R_000097,201000417,201000431,801000003,,,6.0
R_000098,201000417,201000432,801000003,,,7.0
R_000099,201000417,201000433,801000003,,,8.0
R_000100,201000417,201000434,801000003,,,9.0
R_000101,201000417,201000435,801000003,,,10.0
R_000102,201000417,710000000,801000004,,,
R_000103,201000417,620000000,801000005,,,
R_000104,201000436,201000437,801000001,1,个,
R_000105,201000436,201000438,801000001,1,个,
R_000106,201000436,201000439,801000001,180,克,
R_000107,201000436,201000440,801000001,50,克,
